age_hhh,rcsi,plw,elderly,hh_size,disabilities ,ipc,sex_hhh,u5,sanitation,housing 
52.3518191,29,0,0,6,1,CEC,Female,0,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
41.56730434,50,0,0,8,0,CEC,Female,0,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
19.79600375,48,0,0,2,0,CEC,Female,0,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
50.40501485,45,0,0,3,0,CEC,Female,1,Inodoro conectado a alcantarillado,Vivienda en arriendo (en material de ladrillo)
40.06776621,28,0,0,5,1,CEC,Female,0,Inodoro conectado a alcantarillado,Vivienda en arriendo hecha con madera
48.0267002,23,0,0,4,1,CEC,Female,0,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
65.96972773,45,0,1,5,0,CEC,Male,0,No tiene servicio sanitario,Vivienda de materiales de desecho
36.09163939,52,0,0,4,1,CEC,Male,0,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
26.3556622,35,0,0,2,0,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
22.74735335,34,0,0,6,0,CEC,Female,3,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
32.81159104,50,0,0,4,0,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
59.66711276,56,0,0,4,0,CEC,Male,0,Al aire libre,Vivienda de materiales de desecho
47.7163058,56,0,0,10,1,CEC,Female,3,Al aire libre,Vivienda de materiales de desecho
28.45851627,53,0,0,4,0,CEC,Female,2,No tiene servicio sanitario,Vivienda de materiales de desecho
22.58846817,46,1,0,3,0,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
37.31523614,48,0,0,4,0,CEC,Male,0,Al aire libre,Vivienda de materiales de desecho
22.35560843,35,0,0,2,0,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
41.96687625,48,0,0,4,1,CEC,Female,1,Al aire libre,Vivienda de materiales de desecho
31.77655852,56,0,0,5,0,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
26.93434908,44,0,0,3,0,CEC,Male,2,Al aire libre,Vivienda de materiales de desecho
35.93006377,38,0,0,6,0,CEC,Male,2,Al aire libre,Vivienda de materiales de desecho
30.64583969,50,0,0,3,1,CEC,Female,1,No tiene servicio sanitario,Vivienda de materiales de desecho
26.91684964,46,0,0,4,0,CEC,Male,1,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
49.10259822,42,0,0,5,0,CEC,Male,0,Al aire libre,Vivienda de materiales de desecho
37.52348802,44,0,0,3,1,CEC,Female,0,No tiene servicio sanitario,Vivienda de materiales de desecho
31.50280783,54,0,0,3,0,CEC,Female,0,Al aire libre,Vivienda de materiales de desecho
21.98321208,56,0,0,5,1,CEC,Female,3,Al aire libre,Vivienda de materiales de desecho
54.3036897,21,0,0,5,1,CEC,Female,1,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
40.8716961,25,0,0,4,0,CEC,Female,0,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
68.22217774,23,0,1,5,1,CEC,Male,0,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
35.62141821,27,0,0,6,0,CEC,Female,0,Letrina,Vivienda de materiales de desecho
43.87319231,56,0,0,3,0,CEC,Female,0,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
33.80606128,47,0,0,4,0,CEC,Female,0,Inodoro conectado a pozo séptico,Vivienda de materiales de desecho
41.83064067,46,0,0,8,1,CEC,Female,1,Letrina,Vivienda propia (en material de ladrillo)
